,NAS _folder1,BioaccesioningId,SampleNaming,parentName,NAS_folder,group_name,imageGroupRid,rawImageKey,displayImageKey,title,imageMetadata,displayName,displayIdentifier,groupType,parentId,parentType,childId,childType,analyticId,analyticVersion,area,greenRing,greenAnnotation,redRing,redAnnotation,bftitle,redtitle,red_rawimagekey,greentitle,green_rawimagekey,title_0,title_1,title_2,title_3,parentId_check,title_5,6,well,channel,slice,row,column,WELL,s3_key,Day
29786,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day3 images/,Establishment Day 3,f6598c30-d806-4dec-99c1-3caf172fa6b8,s3://xilishub-production/28c4bdb0-42e5-4b1b-9d7b-1bf109886cd9.tiff,s3://xilishub-production/28c4bdb0-42e5-4b1b-9d7b-1bf109886cd9.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 Live_Dead/Well_E6_Ch3_1um,{},Establishment Day 3,establishment_day_3,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",f6598c30-d806-4dec-99c1-3caf172fa6b8,group,28c4bdb0-42e5-4b1b-9d7b-1bf109886cd9,images,detect-objects-with-threshold,1.0.1,252.5,56647.0,8867.0,294737.0,17353.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 LiveDead/Well_E6_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 LiveDead/Well_E6_Ch2_1um,s3://xilishub-production/2d0c4398-fb74-4fba-9cbc-775ae8fc25b4-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 LiveDead/Well_E6_Ch1_1um,s3://xilishub-production/28f03f69-ff85-459f-83ef-5a032dc9884b-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day3 Live_Dead,Well_E6_Ch3_1um,E6,Ch3,1um,E,06,E06,28c4bdb0-42e5-4b1b-9d7b-1bf109886cd9.tiff,Day 03
30401,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day4 images/,Establishment Day 4,141ead04-6c27-4659-8cd3-a86cd3be5763,s3://xilishub-production/2223b37f-fd57-459d-a54a-ff6b3bc89237.tiff,s3://xilishub-production/2223b37f-fd57-459d-a54a-ff6b3bc89237.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 Live_Dead/Well_B12_Ch3_1um,{},Establishment Day 4,establishment_day_4,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",141ead04-6c27-4659-8cd3-a86cd3be5763,group,2223b37f-fd57-459d-a54a-ff6b3bc89237,images,detect-objects-with-threshold,1.0.1,1734.0,136092.0,110356.0,297159.0,130221.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 LiveDead/Well_B12_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 LiveDead/Well_B12_Ch2_1um,s3://xilishub-production/10833e52-0c92-470d-b715-1aa0abba3b9f-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 LiveDead/Well_B12_Ch1_1um,s3://xilishub-production/3a14cd29-462c-44f8-b483-1c4f9574a539-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day4 Live_Dead,Well_B12_Ch3_1um,B12,Ch3,1um,B,12,B12,2223b37f-fd57-459d-a54a-ff6b3bc89237.tiff,Day 04
31165,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day4 images/,Establishment Day 4,141ead04-6c27-4659-8cd3-a86cd3be5763,s3://xilishub-production/3cab0d58-0455-4da7-98cb-fd0895627efd.tiff,s3://xilishub-production/3cab0d58-0455-4da7-98cb-fd0895627efd.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 Live_Dead/Well_A12_Ch3_1um,{},Establishment Day 4,establishment_day_4,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",141ead04-6c27-4659-8cd3-a86cd3be5763,group,3cab0d58-0455-4da7-98cb-fd0895627efd,images,detect-objects-with-threshold,1.0.1,699.0,94753.0,24061.0,147234.0,17862.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 LiveDead/Well_A12_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 LiveDead/Well_A12_Ch2_1um,s3://xilishub-production/b11c740d-1311-4378-bb74-10aca7fbbea1-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 LiveDead/Well_A12_Ch1_1um,s3://xilishub-production/47ca23dc-b6c1-4428-a687-609d888daeba-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day4 Live_Dead,Well_A12_Ch3_1um,A12,Ch3,1um,A,12,A12,3cab0d58-0455-4da7-98cb-fd0895627efd.tiff,Day 04
31837,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day4 images/,Establishment Day 4,141ead04-6c27-4659-8cd3-a86cd3be5763,s3://xilishub-production/040dd150-ae89-4cb8-8715-bf1db111afd5.tiff,s3://xilishub-production/040dd150-ae89-4cb8-8715-bf1db111afd5.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 Live_Dead/Well_C12_Ch3_1um,{},Establishment Day 4,establishment_day_4,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",141ead04-6c27-4659-8cd3-a86cd3be5763,group,040dd150-ae89-4cb8-8715-bf1db111afd5,images,detect-objects-with-threshold,1.0.1,865.5,37636.0,7475.0,135525.0,27302.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 LiveDead/Well_C12_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 LiveDead/Well_C12_Ch2_1um,s3://xilishub-production/caa52761-3709-408d-b29e-77f3a779998a-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day4 LiveDead/Well_C12_Ch1_1um,s3://xilishub-production/50778195-91ec-48fe-97a8-927310259b4b-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day4 Live_Dead,Well_C12_Ch3_1um,C12,Ch3,1um,C,12,C12,040dd150-ae89-4cb8-8715-bf1db111afd5.tiff,Day 04
32716,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day5 Images/,Establishment Day 5,f0b010bd-1128-4989-9217-e4866ec96a9b,s3://xilishub-production/cb923737-f492-4403-94f3-326383d32350.tiff,s3://xilishub-production/cb923737-f492-4403-94f3-326383d32350.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 Live_Dead/Well_D12_Ch3_1um,{},Establishment Day 5,establishment_day_5,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",f0b010bd-1128-4989-9217-e4866ec96a9b,group,cb923737-f492-4403-94f3-326383d32350,images,detect-objects-with-threshold,1.0.1,2691.5,123170.0,149417.0,251851.0,80440.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 LiveDead/Well_D12_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 LiveDead/Well_D12_Ch2_1um,s3://xilishub-production/80cfaa90-10dd-4f9e-84f4-10cf43e4f1fa-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 LiveDead/Well_D12_Ch1_1um,s3://xilishub-production/cb5e3f22-4e5b-49b6-9149-654ea2c69283-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day5 Live_Dead,Well_D12_Ch3_1um,D12,Ch3,1um,D,12,D12,cb923737-f492-4403-94f3-326383d32350.tiff,Day 05
33750,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day5 Images/,Establishment Day 5,f0b010bd-1128-4989-9217-e4866ec96a9b,s3://xilishub-production/ed14f730-162f-4029-887e-00a7ab5f7970.tiff,s3://xilishub-production/ed14f730-162f-4029-887e-00a7ab5f7970.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 Live_Dead/Well_F12_Ch3_1um,{},Establishment Day 5,establishment_day_5,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",f0b010bd-1128-4989-9217-e4866ec96a9b,group,ed14f730-162f-4029-887e-00a7ab5f7970,images,detect-objects-with-threshold,1.0.1,388.0,122339.0,22696.0,184542.0,27369.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 LiveDead/Well_F12_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 LiveDead/Well_F12_Ch2_1um,s3://xilishub-production/979014c8-d3a0-4564-bf1a-29d1a8b0a759-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 LiveDead/Well_F12_Ch1_1um,s3://xilishub-production/9d8a157a-3920-4f74-bbaa-29d1676e77d3-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day5 Live_Dead,Well_F12_Ch3_1um,F12,Ch3,1um,F,12,F12,ed14f730-162f-4029-887e-00a7ab5f7970.tiff,Day 05
34765,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day5 Images/,Establishment Day 5,f0b010bd-1128-4989-9217-e4866ec96a9b,s3://xilishub-production/c88a204a-9b86-43db-86c9-04caa15a857d.tiff,s3://xilishub-production/c88a204a-9b86-43db-86c9-04caa15a857d.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 Live_Dead/Well_E12_Ch3_1um,{},Establishment Day 5,establishment_day_5,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",f0b010bd-1128-4989-9217-e4866ec96a9b,group,c88a204a-9b86-43db-86c9-04caa15a857d,images,detect-objects-with-threshold,1.0.1,412.5,185439.0,49052.0,208154.0,36510.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 LiveDead/Well_E12_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 LiveDead/Well_E12_Ch2_1um,s3://xilishub-production/9d2faea0-5b10-43f8-99c1-9b46f3bea44a-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day5 LiveDead/Well_E12_Ch1_1um,s3://xilishub-production/32485a09-ee58-4f15-aefa-336c21c945f9-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day5 Live_Dead,Well_E12_Ch3_1um,E12,Ch3,1um,E,12,E12,c88a204a-9b86-43db-86c9-04caa15a857d.tiff,Day 05
35953,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day6 Bright Field Only/,Establishment Day 6 BF Only,614c556e-44fc-4019-a287-06e84e3c2039,s3://xilishub-production/d56ff274-7c7b-4205-973f-f233af421bbe.tiff,s3://xilishub-production/d56ff274-7c7b-4205-973f-f233af421bbe.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day6 Bright Field Only/Well_C6_Ch1_1um,{},Establishment Day 6 BF Only,establishment_day_6_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",614c556e-44fc-4019-a287-06e84e3c2039,group,d56ff274-7c7b-4205-973f-f233af421bbe,images,detect-objects-with-threshold,1.0.1,221.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day6 Bright Field Only,Well_C6_Ch1_1um,C6,Ch1,1um,C,06,C06,d56ff274-7c7b-4205-973f-f233af421bbe.tiff,Day 06
36925,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day6 Bright Field Only/,Establishment Day 6 BF Only,614c556e-44fc-4019-a287-06e84e3c2039,s3://xilishub-production/f23d276f-c503-482b-b03e-d1d5b9da2a8c.tiff,s3://xilishub-production/f23d276f-c503-482b-b03e-d1d5b9da2a8c.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day6 Bright Field Only/Well_B6_Ch1_1um,{},Establishment Day 6 BF Only,establishment_day_6_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",614c556e-44fc-4019-a287-06e84e3c2039,group,f23d276f-c503-482b-b03e-d1d5b9da2a8c,images,detect-objects-with-threshold,1.0.1,482.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day6 Bright Field Only,Well_B6_Ch1_1um,B6,Ch1,1um,B,06,B06,f23d276f-c503-482b-b03e-d1d5b9da2a8c.tiff,Day 06
37926,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day6 Bright Field Only/,Establishment Day 6 BF Only,614c556e-44fc-4019-a287-06e84e3c2039,s3://xilishub-production/4dfb300e-bb38-4ca5-93d3-b37dd58921ee.tiff,s3://xilishub-production/4dfb300e-bb38-4ca5-93d3-b37dd58921ee.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day6 Bright Field Only/Well_A6_Ch1_1um,{},Establishment Day 6 BF Only,establishment_day_6_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",614c556e-44fc-4019-a287-06e84e3c2039,group,4dfb300e-bb38-4ca5-93d3-b37dd58921ee,images,detect-objects-with-threshold,1.0.1,755.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day6 Bright Field Only,Well_A6_Ch1_1um,A6,Ch1,1um,A,06,A06,4dfb300e-bb38-4ca5-93d3-b37dd58921ee.tiff,Day 06
38813,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day7 images/,Establishment Day 7,aacc086e-7b1e-4704-b68b-d7aedda80e7f,s3://xilishub-production/3c5b263c-5572-4acd-8efd-96e537deb846.tiff,s3://xilishub-production/3c5b263c-5572-4acd-8efd-96e537deb846.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 Live_Dead/Well_F6_Ch3_1um,{},Establishment Day 7,establishment_day_7,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",aacc086e-7b1e-4704-b68b-d7aedda80e7f,group,3c5b263c-5572-4acd-8efd-96e537deb846,images,detect-objects-with-threshold,1.0.1,2279.5,337779.0,83169.0,455130.0,87298.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 LiveDead/Well_F6_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 LiveDead/Well_F6_Ch2_1um,s3://xilishub-production/70763f10-9c5a-4023-bd11-e8c2e27673b2-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 LiveDead/Well_F6_Ch1_1um,s3://xilishub-production/0bc90950-f985-4591-a4c3-d4cb99148cac-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day7 Live_Dead,Well_F6_Ch3_1um,F6,Ch3,1um,F,06,F06,3c5b263c-5572-4acd-8efd-96e537deb846.tiff,Day 07
39925,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day7 images/,Establishment Day 7,aacc086e-7b1e-4704-b68b-d7aedda80e7f,s3://xilishub-production/8f6bb094-556e-4390-a481-1e3f72bd63c7.tiff,s3://xilishub-production/8f6bb094-556e-4390-a481-1e3f72bd63c7.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 Live_Dead/Well_D6_Ch3_1um,{},Establishment Day 7,establishment_day_7,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",aacc086e-7b1e-4704-b68b-d7aedda80e7f,group,8f6bb094-556e-4390-a481-1e3f72bd63c7,images,detect-objects-with-threshold,1.0.1,2126.5,313914.0,130736.0,215664.0,62960.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 LiveDead/Well_D6_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 LiveDead/Well_D6_Ch2_1um,s3://xilishub-production/b5234822-f4ab-4e97-9643-4a8754a94569-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 LiveDead/Well_D6_Ch1_1um,s3://xilishub-production/73b83d78-94cf-4cc6-9c4c-4d811d8477ff-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day7 Live_Dead,Well_D6_Ch3_1um,D6,Ch3,1um,D,06,D06,8f6bb094-556e-4390-a481-1e3f72bd63c7.tiff,Day 07
41013,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day7 images/,Establishment Day 7,aacc086e-7b1e-4704-b68b-d7aedda80e7f,s3://xilishub-production/4ebeb70a-72a0-456f-a541-91abbbaed752.tiff,s3://xilishub-production/4ebeb70a-72a0-456f-a541-91abbbaed752.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 Live_Dead/Well_E6_Ch3_1um,{},Establishment Day 7,establishment_day_7,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",aacc086e-7b1e-4704-b68b-d7aedda80e7f,group,4ebeb70a-72a0-456f-a541-91abbbaed752,images,detect-objects-with-threshold,1.0.1,4755.5,644808.0,151726.0,938343.0,183559.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 LiveDead/Well_E6_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 LiveDead/Well_E6_Ch2_1um,s3://xilishub-production/2e1d73df-ef1b-4245-b1fc-c8c4102bc967-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day7 LiveDead/Well_E6_Ch1_1um,s3://xilishub-production/b42ce242-5519-4b73-9c12-2e5745b93000-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day7 Live_Dead,Well_E6_Ch3_1um,E6,Ch3,1um,E,06,E06,4ebeb70a-72a0-456f-a541-91abbbaed752.tiff,Day 07
42153,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day8 Bright Field Only/,Establishment Day 8 BF Only,aaed5f2e-0e67-4c1a-bf52-3e87fe888e59,s3://xilishub-production/ce98a995-8fb8-4b15-be5d-abc6fc191eee.tiff,s3://xilishub-production/ce98a995-8fb8-4b15-be5d-abc6fc191eee.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day8 Bright Field Only/Well_D12_Ch1_1um,{},Establishment Day 8 BF Only,establishment_day_8_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",aaed5f2e-0e67-4c1a-bf52-3e87fe888e59,group,ce98a995-8fb8-4b15-be5d-abc6fc191eee,images,detect-objects-with-threshold,1.0.1,616.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day8 Bright Field Only,Well_D12_Ch1_1um,D12,Ch1,1um,D,12,D12,ce98a995-8fb8-4b15-be5d-abc6fc191eee.tiff,Day 08
42987,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day8 Bright Field Only/,Establishment Day 8 BF Only,aaed5f2e-0e67-4c1a-bf52-3e87fe888e59,s3://xilishub-production/8cebcf50-548a-440f-90c0-cc9ff2ac2352.tiff,s3://xilishub-production/8cebcf50-548a-440f-90c0-cc9ff2ac2352.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day8 Bright Field Only/Well_C12_Ch1_1um,{},Establishment Day 8 BF Only,establishment_day_8_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",aaed5f2e-0e67-4c1a-bf52-3e87fe888e59,group,8cebcf50-548a-440f-90c0-cc9ff2ac2352,images,detect-objects-with-threshold,1.0.1,219.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day8 Bright Field Only,Well_C12_Ch1_1um,C12,Ch1,1um,C,12,C12,8cebcf50-548a-440f-90c0-cc9ff2ac2352.tiff,Day 08
43625,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day8 Bright Field Only/,Establishment Day 8 BF Only,aaed5f2e-0e67-4c1a-bf52-3e87fe888e59,s3://xilishub-production/a45c3810-9bbf-4b6d-b2c0-984ff4b3e07c.tiff,s3://xilishub-production/a45c3810-9bbf-4b6d-b2c0-984ff4b3e07c.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day8 Bright Field Only/Well_B12_Ch1_1um,{},Establishment Day 8 BF Only,establishment_day_8_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",aaed5f2e-0e67-4c1a-bf52-3e87fe888e59,group,a45c3810-9bbf-4b6d-b2c0-984ff4b3e07c,images,detect-objects-with-threshold,1.0.1,659.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day8 Bright Field Only,Well_B12_Ch1_1um,B12,Ch1,1um,B,12,B12,a45c3810-9bbf-4b6d-b2c0-984ff4b3e07c.tiff,Day 08
44351,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day9 Bright Field Only/,Establishment Day 9 BF Only,9836d947-0232-46ea-8b5c-abffb54cc0fc,s3://xilishub-production/f7e1048c-bf71-4d91-93bc-c85f3a331e0e.tiff,s3://xilishub-production/f7e1048c-bf71-4d91-93bc-c85f3a331e0e.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day9 Bright Field Only/Well_A6_Ch1_1um,{},Establishment Day 9 BF Only,establishment_day_9_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",9836d947-0232-46ea-8b5c-abffb54cc0fc,group,f7e1048c-bf71-4d91-93bc-c85f3a331e0e,images,detect-objects-with-threshold,1.0.1,761.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day9 Bright Field Only,Well_A6_Ch1_1um,A6,Ch1,1um,A,06,A06,f7e1048c-bf71-4d91-93bc-c85f3a331e0e.tiff,Day 09
45006,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day9 Bright Field Only/,Establishment Day 9 BF Only,9836d947-0232-46ea-8b5c-abffb54cc0fc,s3://xilishub-production/df9c5e15-5b49-48ca-85f6-10df00a623d0.tiff,s3://xilishub-production/df9c5e15-5b49-48ca-85f6-10df00a623d0.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day9 Bright Field Only/Well_B6_Ch1_1um,{},Establishment Day 9 BF Only,establishment_day_9_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",9836d947-0232-46ea-8b5c-abffb54cc0fc,group,df9c5e15-5b49-48ca-85f6-10df00a623d0,images,detect-objects-with-threshold,1.0.1,283.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day9 Bright Field Only,Well_B6_Ch1_1um,B6,Ch1,1um,B,06,B06,df9c5e15-5b49-48ca-85f6-10df00a623d0.tiff,Day 09
45649,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day9 Bright Field Only/,Establishment Day 9 BF Only,9836d947-0232-46ea-8b5c-abffb54cc0fc,s3://xilishub-production/dadb4eb2-2e12-4975-b4d5-f8872db80071.tiff,s3://xilishub-production/dadb4eb2-2e12-4975-b4d5-f8872db80071.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day9 Bright Field Only/Well_C6_Ch1_1um,{},Establishment Day 9 BF Only,establishment_day_9_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",9836d947-0232-46ea-8b5c-abffb54cc0fc,group,dadb4eb2-2e12-4975-b4d5-f8872db80071,images,detect-objects-with-threshold,1.0.1,364.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day9 Bright Field Only,Well_C6_Ch1_1um,C6,Ch1,1um,C,06,C06,dadb4eb2-2e12-4975-b4d5-f8872db80071.tiff,Day 09
